name,url,birth_year,death_year,origin,primary_style,source
Mozelle Alderson,https://en.wikipedia.org/wiki/Mozelle_Alderson,1904,1994,Ohio,Country blues,Wikipedia
"Alger ""Texas"" Alexander",https://en.wikipedia.org/wiki/Alger_%22Texas%22_Alexander,1900,1954,Texas,Country blues,Wikipedia
Ora Alexander,https://en.wikipedia.org/wiki/Ora_Alexander,c.1909,Unknown,Alabama,Classic female blues,Wikipedia
Albert Ammons,https://en.wikipedia.org/wiki/Albert_Ammons,1907,1949,Illinois,Boogie woogie,Wikipedia
Pink Anderson,https://en.wikipedia.org/wiki/Pink_Anderson,1900,1974,South Carolina,Piedmont blues,Wikipedia
Kokomo Arnold,https://en.wikipedia.org/wiki/Kokomo_Arnold,1901*,1968,Georgia,Acoustic blues,Wikipedia
Barbecue Bob,https://en.wikipedia.org/wiki/Barbecue_Bob,1902,1931,Georgia,Acoustic blues,Wikipedia
Ed Bell,https://en.wikipedia.org/wiki/Ed_Bell_(musician),1905,1960s,Alabama,Piedmont blues,Wikipedia
Gladys Bentley,https://en.wikipedia.org/wiki/Gladys_Bentley,1907,1960,Pennsylvania,Vaudeville blues,Wikipedia
Black Ace,https://en.wikipedia.org/wiki/Black_Ace,1905,1972,Texas,Country blues,Wikipedia
Scrapper Blackwell,https://en.wikipedia.org/wiki/Scrapper_Blackwell,1903,1962,North Carolina,Urban blues,Wikipedia
Blind Blake,https://en.wikipedia.org/wiki/Blind_Blake,1896,1934,Florida,Piedmont blues,Wikipedia
Lucille Bogan,https://en.wikipedia.org/wiki/Lucille_Bogan,1897,1948,Mississippi,Classic female blues,Wikipedia
Ted Bogan,https://en.wikipedia.org/wiki/Ted_Bogan,1909,1990,South Carolina,Country blues,Wikipedia
Son Bonds,https://en.wikipedia.org/wiki/Son_Bonds,1909,1947,Tennessee,Country blues,Wikipedia
Big Bill Broonzy,https://en.wikipedia.org/wiki/Big_Bill_Broonzy,1893*,1958,Mississippi,Urban blues,Wikipedia
Kitty Brown,https://en.wikipedia.org/wiki/Kitty_Brown,1899,Unknown,New York,Classic female blues,Wikipedia
Willie Brown,https://en.wikipedia.org/wiki/Willie_Brown_(musician),1900,1952,Mississippi,Delta blues,Wikipedia
Bumble Bee Slim,https://en.wikipedia.org/wiki/Bumble_Bee_Slim,1905,1968,Georgia,Urban blues,Wikipedia
Gus Cannon,https://en.wikipedia.org/wiki/Gus_Cannon,1883*,1979,Mississippi,Jug band,Wikipedia
Leroy Carr,https://en.wikipedia.org/wiki/Leroy_Carr,1905,1935,Tennessee,Urban blues,Wikipedia
Doctor Clayton,https://en.wikipedia.org/wiki/Doctor_Clayton,1898,1947,Georgia,Country blues,Wikipedia
Sam Collins,https://en.wikipedia.org/wiki/Sam_Collins_(musician),1887,1949,Louisiana,Country blues,Wikipedia
Elizabeth Cotten,https://en.wikipedia.org/wiki/Elizabeth_Cotten,1893,1987,North Carolina,Country blues,Wikipedia
Floyd Council,https://en.wikipedia.org/wiki/Floyd_Council,1911,1976,North Carolina,Piedmont blues,Wikipedia
Ida Cox,https://en.wikipedia.org/wiki/Ida_Cox,1896*,1967,Georgia,Vaudeville blues,Wikipedia
Blind Blues Darby,https://en.wikipedia.org/wiki/Teddy_Darby,1906,1975,Kentucky,St. Louis blues,Wikipedia
Reverend Gary Davis,https://en.wikipedia.org/wiki/Reverend_Gary_Davis,1896,1972,South Carolina,Piedmont blues,Wikipedia
Walter Davis,https://en.wikipedia.org/wiki/Walter_Davis_(blues),1911*,1963,Mississippi,St. Louis blues,Wikipedia
Tom Delaney,https://en.wikipedia.org/wiki/Tom_Delaney_(songwriter),1889,1963,South Carolina,Urban blues,Wikipedia
Georgia Tom Dorsey,https://en.wikipedia.org/wiki/Thomas_A._Dorsey,1899,1993,Georgia,Urban blues,Wikipedia
Little Buddy Doyle,https://en.wikipedia.org/wiki/Little_Buddy_Doyle,1911*,1960*,Tennessee,Memphis blues,Wikipedia
Bernice Edwards,https://en.wikipedia.org/wiki/Bernice_Edwards,1907,1969,Texas,Classic female blues,Wikipedia
Sleepy John Estes,https://en.wikipedia.org/wiki/Sleepy_John_Estes,1899*,1977,Tennessee,Country blues,Wikipedia
Ethel Finnie,https://en.wikipedia.org/wiki/Ethel_Finnie,1898,1981,Louisiana,Classic female blues,Wikipedia
Blind Boy Fuller,https://en.wikipedia.org/wiki/Blind_Boy_Fuller,1907*,1941,North Carolina,Piedmont blues,Wikipedia
Jesse Fuller,https://en.wikipedia.org/wiki/Jesse_Fuller,1896,1976,Georgia,Piedmont blues,Wikipedia
Jazz Gillum,https://en.wikipedia.org/wiki/Jazz_Gillum,1904*,1966,Mississippi,Urban blues,Wikipedia
Boyd Gilmore,https://en.wikipedia.org/wiki/Boyd_Gilmore,1905,1976,Mississippi,Delta blues,Wikipedia
Coot Grant,https://en.wikipedia.org/wiki/Coot_Grant,1893,1970,Alabama,Classic female blues,Wikipedia
Lil Green,https://en.wikipedia.org/wiki/Lil_Green,1919*,1954,Mississippi,Urban blues,Wikipedia
Shirley Griffith,https://en.wikipedia.org/wiki/Shirley_Griffith,1907,1974,Mississippi,Country blues,Wikipedia
"Richard ""Hacksaw"" Harney",https://en.wikipedia.org/wiki/Richard_%22Hacksaw%22_Harney,1902,1973,Mississippi,Delta blues,Wikipedia
Lucille Hegamin,https://en.wikipedia.org/wiki/Lucille_Hegamin,1897*,1970,Georgia,Classic female blues,Wikipedia
Edmonia Henderson,https://en.wikipedia.org/wiki/Edmonia_Henderson,1898,1947,Tennessee,Classic female blues,Wikipedia
Katherine Henderson,https://en.wikipedia.org/wiki/Katherine_Henderson_(singer),1909,Unknown,Missouri,Classic female blues,Wikipedia
Edna Hicks,https://en.wikipedia.org/wiki/Edna_Hicks,1895,1925,Louisiana,Classic female blues,Wikipedia
Son House,https://en.wikipedia.org/wiki/Son_House,1902,1988,Mississippi,Delta blues,Wikipedia
Peg Leg Howell,https://en.wikipedia.org/wiki/Peg_Leg_Howell,1888,1966,Georgia,Country blues,Wikipedia
Alberta Hunter,https://en.wikipedia.org/wiki/Alberta_Hunter,1895,1984,Tennessee,Classic female blues,Wikipedia
Mississippi John Hurt,https://en.wikipedia.org/wiki/Mississippi_John_Hurt,1894*,1966,Mississippi,Country blues,Wikipedia
Jim Jackson,https://en.wikipedia.org/wiki/Jim_Jackson_(musician),1890*,1937*,Mississippi,Country blues,Wikipedia
Papa Charlie Jackson,https://en.wikipedia.org/wiki/Papa_Charlie_Jackson,1890*,1950*,Louisiana,Country blues,Wikipedia
Skip James,https://en.wikipedia.org/wiki/Skip_James,1902,1969,Mississippi,Delta blues,Wikipedia
Blind Lemon Jefferson,https://en.wikipedia.org/wiki/Blind_Lemon_Jefferson,1893,1929,Texas,Country blues,Wikipedia
Blind Willie Johnson,https://en.wikipedia.org/wiki/Blind_Willie_Johnson,1897,1945,Texas,Gospel blues,Wikipedia
Edith North Johnson,https://en.wikipedia.org/wiki/Edith_North_Johnson,1903,1988,Missouri,Classic female blues,Wikipedia
Lonnie Johnson,https://en.wikipedia.org/wiki/Lonnie_Johnson_(musician),1899,1970,Louisiana,Urban blues,Wikipedia
Mary Johnson,https://en.wikipedia.org/wiki/Mary_Johnson_(singer),1898,1983,Mississippi,Classic female blues,Wikipedia
Robert Johnson,https://en.wikipedia.org/wiki/Robert_Johnson,1911,1938,Mississippi,Delta blues,Wikipedia
Tommy Johnson,https://en.wikipedia.org/wiki/Tommy_Johnson_(blues_musician),1896,1956,Mississippi,Delta blues,Wikipedia
Little Hat Jones,https://en.wikipedia.org/wiki/Little_Hat_Jones,1899,1981,Texas,Country blues,Wikipedia
Lottie Kimbrough,https://en.wikipedia.org/wiki/Lottie_Kimbrough,1893,Unknown,Arkansas,Country blues,Wikipedia
Lead Belly,https://en.wikipedia.org/wiki/Lead_Belly,1889,1949,Louisiana,Country blues,Wikipedia
Furry Lewis,https://en.wikipedia.org/wiki/Furry_Lewis,1893*,1981,Mississippi,Country blues,Wikipedia
Meade Lux Lewis,https://en.wikipedia.org/wiki/Meade_Lux_Lewis,1905,1964,Illinois,Boogie woogie,Wikipedia
Charley Lincoln,https://en.wikipedia.org/wiki/Charley_Lincoln,1900,1963,Georgia,Country blues,Wikipedia
Mance Lipscomb,https://en.wikipedia.org/wiki/Mance_Lipscomb,1895,1976,Texas,Country blues,Wikipedia
Virginia Liston,https://en.wikipedia.org/wiki/Virginia_Liston,1890,1932,Louisiana,Classic female blues,Wikipedia
"Robert Lockwood, Jr.","https://en.wikipedia.org/wiki/Robert_Lockwood,_Jr.",1915,2006,Arkansas,Delta blues,Wikipedia
Cripple Clarence Lofton,https://en.wikipedia.org/wiki/Cripple_Clarence_Lofton,1887*,1957,Tennessee,Boogie woogie,Wikipedia
Eddie Mapp,https://en.wikipedia.org/wiki/Eddie_Mapp,1910,1931,Georgia,Country blues,Wikipedia
Sara Martin,https://en.wikipedia.org/wiki/Sara_Martin,1884,1955,Kentucky,Vaudeville blues,Wikipedia
Lil McClintock,https://en.wikipedia.org/wiki/Lil_McClintock,1883,Unknown,U.S.,Country blues,Wikipedia
Kansas Joe McCoy,https://en.wikipedia.org/wiki/Kansas_Joe_McCoy,1905,1950,Mississippi,Country blues,Wikipedia
Papa Charlie McCoy,https://en.wikipedia.org/wiki/Papa_Charlie_McCoy,1909,1959,Mississippi,Delta blues,Wikipedia
Mississippi Fred McDowell,https://en.wikipedia.org/wiki/Fred_McDowell,1904,1972,Tennessee,Delta blues,Wikipedia
"Charlie ""Specks"" McFadden",https://en.wikipedia.org/wiki/Charlie_%22Specks%22_McFadden,1895,1966,Illinois,Country blues,Wikipedia
Fred McMullen,https://en.wikipedia.org/wiki/Fred_McMullen_(musician),1905,Unknown,Florida,Piedmont blues,Wikipedia
Jay McShann,https://en.wikipedia.org/wiki/Jay_McShann,1916,2006,Oklahoma,Blues,Wikipedia
Blind Willie McTell,https://en.wikipedia.org/wiki/Blind_Willie_McTell,1901*,1959,Georgia,Country blues,Wikipedia
Memphis Minnie,https://en.wikipedia.org/wiki/Memphis_Minnie,1897,1973,Louisiana,Memphis blues,Wikipedia
Mississippi Sheiks,https://en.wikipedia.org/wiki/Mississippi_Sheiks,,,Mississippi,Country blues,Wikipedia
Little Brother Montgomery,https://en.wikipedia.org/wiki/Little_Brother_Montgomery,1906,1985,Louisiana,Barrelhouse blues,Wikipedia
Whistlin' Alex Moore,https://en.wikipedia.org/wiki/Whistlin%27_Alex_Moore,1899,1989,Texas,Boogie woogie,Wikipedia
Buddy Moss,https://en.wikipedia.org/wiki/Buddy_Moss,1914,1984,Georgia,Piedmont blues,Wikipedia
Hambone Willie Newbern,https://en.wikipedia.org/wiki/Hambone_Willie_Newbern,1901,1965,Tennessee,Country blues,Wikipedia
St. Louis Jimmy Oden,https://en.wikipedia.org/wiki/St._Louis_Jimmy_Oden,1903,1977,Tennessee,Urban blues,Wikipedia
Charley Patton,https://en.wikipedia.org/wiki/Charley_Patton,1891,1934,Mississippi,Delta blues,Wikipedia
Piano Red,https://en.wikipedia.org/wiki/Piano_Red,1911,1985,Georgia,Boogie woogie,Wikipedia
Buster Pickens,https://en.wikipedia.org/wiki/Buster_Pickens,1916,1964,Texas,Country blues,Wikipedia
Joe Pullum,https://en.wikipedia.org/wiki/Joe_Pullum,1905,1964,Alabama,Urban blues,Wikipedia
Ma Rainey,https://en.wikipedia.org/wiki/Ma_Rainey,1886*,1939,Georgia,Classic female blues,Wikipedia
Red Nelson,https://en.wikipedia.org/wiki/Red_Nelson_(musician),1907,1970,Mississippi,Urban blues,Wikipedia
Walter Roland,https://en.wikipedia.org/wiki/Walter_Roland,c.1902 or 1903,1972,Alabama,Boogie woogie,Wikipedia
Jimmy Rushing,https://en.wikipedia.org/wiki/Jimmy_Rushing,1903,1972,Oklahoma,Urban blues,Wikipedia
Dan Sane,https://en.wikipedia.org/wiki/Dan_Sane,1896,1956,Mississippi,Memphis blues,Wikipedia
Alec Seward,https://en.wikipedia.org/wiki/Alec_Seward,1901,1972,Virginia,Piedmont blues,Wikipedia
Robert Shaw,https://en.wikipedia.org/wiki/Robert_Shaw_(blues_musician),1908,1985,Texas,Boogie woogie,Wikipedia
J.D. Short,https://en.wikipedia.org/wiki/J.D._Short,1902,1962,Mississippi,Delta blues,Wikipedia
"Henry ""Son"" Sims",https://en.wikipedia.org/wiki/Henry_%22Son%22_Sims,1890,1958,Mississippi,Delta blues,Wikipedia
Bessie Smith,https://en.wikipedia.org/wiki/Bessie_Smith,1894,1937,Tennessee,Classic female blues,Wikipedia
Clara Smith,https://en.wikipedia.org/wiki/Clara_Smith,1894*,1935,South Carolina,Classic female blues,Wikipedia
"J. T. ""Funny Papa"" Smith",https://en.wikipedia.org/wiki/J._T._Smith_(musician),1885*,1940*,U.S.,Country blues,Wikipedia
Mamie Smith,https://en.wikipedia.org/wiki/Mamie_Smith,1883,1946,Ohio,Vaudeville blues,Wikipedia
Pinetop Sparks,https://en.wikipedia.org/wiki/Pinetop_Sparks,1910,1935,Mississippi,Boogie woogie,Wikipedia
Speckled Red,https://en.wikipedia.org/wiki/Speckled_Red,1892,1973,Louisiana,Boogie woogie,Wikipedia
Victoria Spivey,https://en.wikipedia.org/wiki/Victoria_Spivey,1906,1976,Texas,Vaudeville blues,Wikipedia
Frank Stokes,https://en.wikipedia.org/wiki/Frank_Stokes_(musician),1888*,1955,Tennessee,Memphis blues,Wikipedia
Roosevelt Sykes,https://en.wikipedia.org/wiki/Roosevelt_Sykes,1913,1984,Arkansas,Urban blues,Wikipedia
Tampa Red,https://en.wikipedia.org/wiki/Tampa_Red,1904,1981,Georgia,Urban blues,Wikipedia
Johnny Temple,https://en.wikipedia.org/wiki/Johnny_Temple_(musician),1906,1968,Mississippi,Delta blues,Wikipedia
Henry Thomas,https://en.wikipedia.org/wiki/Henry_Thomas_(blues_musician),1874,1930*,Texas,Country blues,Wikipedia
Ramblin' Thomas,https://en.wikipedia.org/wiki/Ramblin%27_Thomas,Unknown,Unknown,Louisiana,Country blues,Wikipedia
Henry Townsend,https://en.wikipedia.org/wiki/Henry_Townsend_(musician),1909,2006,Mississippi,St. Louis blues,Wikipedia
Willie Trice,https://en.wikipedia.org/wiki/Willie_Trice,1910,1977,North Carolina,Piedmont blues,Wikipedia
Bessie Tucker,https://en.wikipedia.org/wiki/Bessie_Tucker,c.1906,1933,Texas,Country blues,Wikipedia
Walter Vinson,https://en.wikipedia.org/wiki/Walter_Vinson,1901,1975,Mississippi,Country blues,Wikipedia
Sippie Wallace,https://en.wikipedia.org/wiki/Sippie_Wallace,1898,1986,Arkansas,Classic female blues,Wikipedia
Washboard Sam,https://en.wikipedia.org/wiki/Washboard_Sam,1910,1966,Arkansas,Country blues,Wikipedia
Ethel Waters,https://en.wikipedia.org/wiki/Ethel_Waters,1896,1977,Pennsylvania,Urban blues,Wikipedia
Curley Weaver,https://en.wikipedia.org/wiki/Curley_Weaver,1906,1962,Georgia,Country blues,Wikipedia
Sylvester Weaver,https://en.wikipedia.org/wiki/Sylvester_Weaver_(musician),1897*,1960,Kentucky,Country blues,Wikipedia
Casey Bill Weldon,https://en.wikipedia.org/wiki/Casey_Bill_Weldon,1909,Unknown,Arkansas,Country blues,Wikipedia
Peetie Wheatstraw,https://en.wikipedia.org/wiki/Peetie_Wheatstraw,1902,1941,Tennessee,St. Louis blues,Wikipedia
Bukka White,https://en.wikipedia.org/wiki/Bukka_White,1909,1977,Mississippi,Delta blues,Wikipedia
Josh White,https://en.wikipedia.org/wiki/Josh_White,1908,1969,South Carolina,Country blues,Wikipedia
Big Joe Williams,https://en.wikipedia.org/wiki/Big_Joe_Williams,1903,1982,Mississippi,Delta blues,Wikipedia
Sonny Boy Williamson I,https://en.wikipedia.org/wiki/Sonny_Boy_Williamson_I,1914,1948,Tennessee,Urban blues,Wikipedia
Ralph Willis,https://en.wikipedia.org/wiki/Ralph_Willis_(blues_musician),1910*,1957,Alabama,Piedmont blues,Wikipedia
"Oscar ""Buddy"" Woods",https://en.wikipedia.org/wiki/Oscar_%22Buddy%22_Woods,1903,1955,Louisiana,Urban blues,Wikipedia
The Aces,https://en.wikipedia.org/wiki/The_Aces_(blues_band),,,Illinois,Chicago blues,Wikipedia
Woodrow Adams,https://en.wikipedia.org/wiki/Woodrow_Adams,1917,1988,Mississippi,Electric blues,Wikipedia
Luther Allison,https://en.wikipedia.org/wiki/Luther_Allison,1939,1997,Arkansas,Chicago blues,Wikipedia
Mose Allison,https://en.wikipedia.org/wiki/Mose_Allison,1927,2016,Mississippi,Urban blues,Wikipedia
Kip Anderson,https://en.wikipedia.org/wiki/Kip_Anderson,1938,2007,South Carolina,Soul blues,Wikipedia
Etta Baker,https://en.wikipedia.org/wiki/Etta_Baker,1913,2006,North Carolina,Country blues,Wikipedia
John Henry Barbee,https://en.wikipedia.org/wiki/John_Henry_Barbee,1905,1964,Tennessee,Acoustic blues,Wikipedia
Lou Ann Barton,https://en.wikipedia.org/wiki/Lou_Ann_Barton,1954,,Texas,Electric blues,Wikipedia
Johnnie Bassett,https://en.wikipedia.org/wiki/Johnnie_Bassett,1935,2012,Florida,Electric blues,Wikipedia
Lefty Bates,https://en.wikipedia.org/wiki/Lefty_Bates,1920,2007,Alabama,Chicago blues,Wikipedia
Carey Bell,https://en.wikipedia.org/wiki/Carey_Bell,1936,2007,Mississippi,Chicago blues,Wikipedia
Buster Benton,https://en.wikipedia.org/wiki/Buster_Benton,1932,1996,Arkansas,Chicago blues,Wikipedia
Roy Book Binder,https://en.wikipedia.org/wiki/Roy_Book_Binder,1943,,New York,Acoustic blues,Wikipedia
Elvin Bishop,https://en.wikipedia.org/wiki/Elvin_Bishop,1942,,California,Electric blues,Wikipedia
Bobby Bland,https://en.wikipedia.org/wiki/Bobby_Bland,1930,2013,Tennessee,Soul blues,Wikipedia
Rory Block,https://en.wikipedia.org/wiki/Rory_Block,1949,,New Jersey,Country blues,Wikipedia
Mike Bloomfield,https://en.wikipedia.org/wiki/Mike_Bloomfield,1943,1981,Illinois,Electric blues,Wikipedia
Boogie Woogie Red,https://en.wikipedia.org/wiki/Boogie_Woogie_Red,1925,1985*,Louisiana,Boogie woogie,Wikipedia
Eddie Boyd,https://en.wikipedia.org/wiki/Eddie_Boyd,1914,1994,Mississippi,Chicago blues,Wikipedia
Lonnie Brooks,https://en.wikipedia.org/wiki/Lonnie_Brooks,1933,2017,Louisiana,Electric blues,Wikipedia
Charles Brown,https://en.wikipedia.org/wiki/Charles_Brown_(musician),1922,1999,Texas,West Coast blues,Wikipedia
"Clarence ""Gatemouth"" Brown",https://en.wikipedia.org/wiki/Clarence_%22Gatemouth%22_Brown,1924*,2005,Louisiana,Electric blues,Wikipedia
Roy Brown,https://en.wikipedia.org/wiki/Roy_Brown_(blues_musician),1925*,1981,Louisiana,Jump blues,Wikipedia
Walter Brown,https://en.wikipedia.org/wiki/Walter_Brown_(singer),1917,1956,Texas,Memphis blues,Wikipedia
Roy Buchanan,https://en.wikipedia.org/wiki/Roy_Buchanan,1939,1988,Alabama,Electric blues,Wikipedia
"George ""Mojo"" Buford",https://en.wikipedia.org/wiki/George_%22Mojo%22_Buford,1929,2011,Mississippi,Chicago blues,Wikipedia
"Eddie ""Guitar"" Burns",https://en.wikipedia.org/wiki/Eddie_%22Guitar%22_Burns,1928,2012,Mississippi,Detroit blues,Wikipedia
R. L. Burnside,https://en.wikipedia.org/wiki/R._L._Burnside,1926,2005,Mississippi,Hill country blues,Wikipedia
Aron Burton,https://en.wikipedia.org/wiki/Aron_Burton,1938,2016,Mississippi,Chicago blues,Wikipedia
Paul Butterfield,https://en.wikipedia.org/wiki/Paul_Butterfield,1942,1987,Illinois,Electric blues,Wikipedia
Carolina Slim,https://en.wikipedia.org/wiki/Carolina_Slim,1923,1953,North Carolina,Piedmont blues,Wikipedia
Eric Clapton,https://en.wikipedia.org/wiki/Eric_Clapton,1945,,England,Electric blues,Wikipedia
Willie Cobbs,https://en.wikipedia.org/wiki/Willie_Cobbs,1932,2021,Arkansas,Electric blues,Wikipedia
Albert Collins,https://en.wikipedia.org/wiki/Albert_Collins,1932,1993,Texas,Electric blues,Wikipedia
Johnny Copeland,https://en.wikipedia.org/wiki/Johnny_Copeland,1937,1997,Louisiana,Texas blues,Wikipedia
James Cotton,https://en.wikipedia.org/wiki/James_Cotton,1935,2017,Mississippi,Chicago blues,Wikipedia
Pee Wee Crayton,https://en.wikipedia.org/wiki/Pee_Wee_Crayton,1914,1985,Texas,West Coast blues,Wikipedia
"Arthur ""Big Boy"" Crudup",https://en.wikipedia.org/wiki/Arthur_%22Big_Boy%22_Crudup,1905,1974,Mississippi,Urban blues,Wikipedia
James Crutchfield,https://en.wikipedia.org/wiki/James_Crutchfield,1912,2001,Louisiana,Barrelhouse blues,Wikipedia
Cyril Davies,https://en.wikipedia.org/wiki/Cyril_Davies,1932,1964,England,Electric blues,Wikipedia
Blind John Davis,https://en.wikipedia.org/wiki/Blind_John_Davis,1913,1985,Mississippi,Urban blues,Wikipedia
"James ""Thunderbird"" Davis",https://en.wikipedia.org/wiki/James_%22Thunderbird%22_Davis,1938,1991*,Alabama,Electric blues,Wikipedia
Larry Davis,https://en.wikipedia.org/wiki/Larry_Davis_(blues_musician),1936,1994,Arkansas*,Texas blues,Wikipedia
