name,url,birth_year,death_year,origin,primary_style,source
Dan Pickett,https://en.wikipedia.org/wiki/Dan_Pickett_(musician),1907,1967,Alabama,Country blues,Wikipedia
Snooky Pryor,https://en.wikipedia.org/wiki/Snooky_Pryor,1919*,2006,Mississippi,Chicago blues,Wikipedia
Doug Quattlebaum,https://en.wikipedia.org/wiki/Doug_Quattlebaum,1927,1996,South Carolina,Piedmont blues,Wikipedia
Bonnie Raitt,https://en.wikipedia.org/wiki/Bonnie_Raitt,1949,,California,Electric blues,Wikipedia
Jimmy Reed,https://en.wikipedia.org/wiki/Jimmy_Reed,1925,1976,Mississippi,Electric blues,Wikipedia
Sonny Rhodes,https://en.wikipedia.org/wiki/Sonny_Rhodes,1940,2021,Texas,Electric blues,Wikipedia
Fenton Robinson,https://en.wikipedia.org/wiki/Fenton_Robinson,1935,2007*,Mississippi,Electric blues,Wikipedia
Jimmie Lee Robinson,https://en.wikipedia.org/wiki/Jimmie_Lee_Robinson,1931,2002,Illinois,Chicago blues,Wikipedia
Sonny Rodgers,https://en.wikipedia.org/wiki/Sonny_Rodgers,1939,1990,Arkansas,Electric blues,Wikipedia
Jimmy Rogers,https://en.wikipedia.org/wiki/Jimmy_Rogers,1924,1997,Mississippi,Chicago blues,Wikipedia
Roomful of Blues,https://en.wikipedia.org/wiki/Roomful_of_Blues,,,Rhode Island,Electric blues,Wikipedia
Bobby Rush,https://en.wikipedia.org/wiki/Bobby_Rush_(musician),1933,,Louisiana,Soul blues,Wikipedia
Otis Rush,https://en.wikipedia.org/wiki/Otis_Rush,1924,1997,Mississippi,Chicago blues,Wikipedia
Son Seals,https://en.wikipedia.org/wiki/Son_Seals,1942,2004,Arkansas,Electric blues,Wikipedia
Eddie Shaw,https://en.wikipedia.org/wiki/Eddie_Shaw,1937,2018,Mississippi,Chicago blues,Wikipedia
Roscoe Shelton,https://en.wikipedia.org/wiki/Roscoe_Shelton,1931,2002,Tennessee,Electric blues,Wikipedia
Johnny Shines,https://en.wikipedia.org/wiki/Johnny_Shines,1915,1992,Tennessee,Chicago blues,Wikipedia
Frankie Lee Sims,https://en.wikipedia.org/wiki/Frankie_Lee_Sims,1917,1970,Louisiana,Texas blues,Wikipedia
Drink Small,https://en.wikipedia.org/wiki/Drink_Small,1933,,South Carolina,Acoustic blues,Wikipedia
Barkin' Bill Smith,https://en.wikipedia.org/wiki/Barkin%27_Bill_Smith,1928,2000,Mississippi,Chicago blues,Wikipedia
"George ""Harmonica"" Smith",https://en.wikipedia.org/wiki/George_%22Harmonica%22_Smith,1924,1983,Arkansas,Electric blues,Wikipedia
"Moses ""Whispering"" Smith",https://en.wikipedia.org/wiki/Moses_%22Whispering%22_Smith,1932,1984,Mississippi,Louisiana blues,Wikipedia
Robert Curtis Smith,https://en.wikipedia.org/wiki/Robert_Curtis_Smith,1930,2010,Mississippi,Piedmont blues,Wikipedia
Smoky Babe,https://en.wikipedia.org/wiki/Smoky_Babe,1927,1975*,Mississippi,Acoustic blues,Wikipedia
Little Smokey Smothers,https://en.wikipedia.org/wiki/Little_Smokey_Smothers,1939,2010,Mississippi,Chicago blues,Wikipedia
"Otis ""Big Smokey"" Smothers",https://en.wikipedia.org/wiki/Otis_%22Big_Smokey%22_Smothers,1929,1993,Mississippi,Chicago blues,Wikipedia
Otis Spann,https://en.wikipedia.org/wiki/Otis_Spann,1930,1970,Mississippi,Chicago blues,Wikipedia
"Arthur ""Big Boy"" Spires",https://en.wikipedia.org/wiki/Arthur_%22Big_Boy%22_Spires,1912,1990,Mississippi,Electric blues,Wikipedia
Arbee Stidham,https://en.wikipedia.org/wiki/Arbee_Stidham,1917,1988,Arkansas,Electric blues,Wikipedia
Taj Mahal,https://en.wikipedia.org/wiki/Taj_Mahal_(musician),1942,,New York,Acoustic blues,Wikipedia
Baby Tate,https://en.wikipedia.org/wiki/Baby_Tate_(guitarist),1916,1972,Georgia,Piedmont blues,Wikipedia
Eddie Taylor,https://en.wikipedia.org/wiki/Eddie_Taylor,1923,1985,Mississippi,Chicago blues,Wikipedia
Hound Dog Taylor,https://en.wikipedia.org/wiki/Hound_Dog_Taylor,1917*,1975,Mississippi,Electric blues,Wikipedia
Koko Taylor,https://en.wikipedia.org/wiki/Koko_Taylor,1935*,2009,Tennessee,Electric blues,Wikipedia
Sam Taylor,https://en.wikipedia.org/wiki/Sam_Taylor_(saxophonist),1916,1990,Tennessee,Urban blues,Wikipedia
Sonny Terry,https://en.wikipedia.org/wiki/Sonny_Terry,1911,1986,Georgia,Country blues,Wikipedia
Tabby Thomas,https://en.wikipedia.org/wiki/Tabby_Thomas,1929,2014,Louisiana,Louisiana blues,Wikipedia
Big Mama Thornton,https://en.wikipedia.org/wiki/Big_Mama_Thornton,1926,1984,Alabama,Electric blues,Wikipedia
Luther Tucker,https://en.wikipedia.org/wiki/Luther_Tucker,1936,1993,Tennessee,Chicago blues,Wikipedia
Big Joe Turner,https://en.wikipedia.org/wiki/Big_Joe_Turner,1911,1985,Missouri,Jump blues,Wikipedia
Ike Turner,https://en.wikipedia.org/wiki/Ike_Turner,1931,2007,Mississippi,Electric blues,Wikipedia
Titus Turner,https://en.wikipedia.org/wiki/Titus_Turner,1933,1984,Georgia,Soul blues,Wikipedia
Jimmie Vaughan,https://en.wikipedia.org/wiki/Jimmie_Vaughan,1951,,Texas,Electric blues,Wikipedia
Stevie Ray Vaughan,https://en.wikipedia.org/wiki/Stevie_Ray_Vaughan,1954,1990,Texas,Electric blues,Wikipedia
Mose Vinson,https://en.wikipedia.org/wiki/Mose_Vinson,1917*,2002,Mississippi,Electric blues,Wikipedia
"Johnny ""Big Moose"" Walker",https://en.wikipedia.org/wiki/Johnny_%22Big_Moose%22_Walker,1927,1999,Mississippi,Chicago blues,Wikipedia
T-Bone Walker,https://en.wikipedia.org/wiki/T-Bone_Walker,1910,1975,Texas,West Coast blues,Wikipedia
Baby Boy Warren,https://en.wikipedia.org/wiki/Baby_Boy_Warren,1919,1977,Louisiana,Detroit blues,Wikipedia
Willie D. Warren,https://en.wikipedia.org/wiki/Willie_D._Warren,1924,2000,Arkansas,Detroit blues,Wikipedia
Washboard Willie,https://en.wikipedia.org/wiki/Washboard_Willie,1909,1991,Alabama,Detroit blues,Wikipedia
Boogie Bill Webb,https://en.wikipedia.org/wiki/Boogie_Bill_Webb,1924,1990,Mississippi,Electric blues,Wikipedia
Junior Wells,https://en.wikipedia.org/wiki/Junior_Wells,1934,1998,Arkansas,Chicago blues,Wikipedia
"Golden ""Big"" Wheeler",https://en.wikipedia.org/wiki/Golden_%22Big%22_Wheeler,1929,1998,Georgia,Chicago blues,Wikipedia
Lavelle White,https://en.wikipedia.org/wiki/Lavelle_White,1929,,Louisiana,Soul blues,Wikipedia
Joe Willie Wilkins,https://en.wikipedia.org/wiki/Joe_Willie_Wilkins,1921,1979,Mississippi,Memphis blues,Wikipedia
Jody Williams,https://en.wikipedia.org/wiki/Jody_Williams_(blues_musician),1935,2018,Alabama,Chicago blues,Wikipedia
Johnny Williams,https://en.wikipedia.org/wiki/Johnny_Williams_(blues_musician),1906,2006,Louisiana,Chicago blues,Wikipedia
Lester Williams,https://en.wikipedia.org/wiki/Lester_Williams_(musician),1920,1990,Texas,Texas blues,Wikipedia
Sonny Boy Williamson II,https://en.wikipedia.org/wiki/Sonny_Boy_Williamson_II,1909*,1965,Mississippi,Chicago blues,Wikipedia
Alan Wilson,https://en.wikipedia.org/wiki/Alan_Wilson_(musician),1943,1970,Massachusetts,Electric blues,Wikipedia
U.P. Wilson,https://en.wikipedia.org/wiki/U.P._Wilson,1934,2004,Louisiana,Texas blues,Wikipedia
Johnny Winter,https://en.wikipedia.org/wiki/Johnny_Winter,1944,2014,Texas,Electric blues,Wikipedia
Jimmy Witherspoon,https://en.wikipedia.org/wiki/Jimmy_Witherspoon,1920,1997,Arkansas,Jump blues,Wikipedia
Big John Wrencher,https://en.wikipedia.org/wiki/Big_John_Wrencher,1924*,1977,Mississippi,Chicago blues,Wikipedia
Billy Wright,https://en.wikipedia.org/wiki/Billy_Wright_(musician),1918*,1991,Georgia,Jump blues,Wikipedia
"Johnny ""Man"" Young",https://en.wikipedia.org/wiki/Johnny_%22Man%22_Young,1918,1974,Mississippi,Chicago blues,Wikipedia
Linsey Alexander,https://en.wikipedia.org/wiki/Linsey_Alexander,1942,2025,Mississippi,Electric blues*,Wikipedia
James Armstrong,https://en.wikipedia.org/wiki/James_Armstrong_(musician),1957,,California,Electric blues,Wikipedia
Dexter Allen,https://en.wikipedia.org/wiki/Dexter_Allen,1970,,Mississippi,Electric blues*,Wikipedia
Marcia Ball,https://en.wikipedia.org/wiki/Marcia_Ball,1949,,Texas,Electric blues,Wikipedia
Chico Banks,https://en.wikipedia.org/wiki/Chico_Banks,1962,2008,Illinois,Chicago blues,Wikipedia
L.V. Banks,https://en.wikipedia.org/wiki/L.V._Banks,1932,2011,Missouri,Chicago blues,Wikipedia
Barrelhouse Chuck,https://en.wikipedia.org/wiki/Barrelhouse_Chuck,1958,2016,Ohio,Chicago blues,Wikipedia
Tab Benoit,https://en.wikipedia.org/wiki/Tab_Benoit,1967,,California,Electric blues,Wikipedia
"Terry ""Harmonica"" Bean",https://en.wikipedia.org/wiki/Terry_%22Harmonica%22_Bean,1961,,Mississippi,Electric blues*,Wikipedia
Chris Beard,https://en.wikipedia.org/wiki/Chris_Beard_(singer),1957,,New York,Electric blues*,Wikipedia
Adolphus Bell,https://en.wikipedia.org/wiki/Adolphus_Bell,1944,,Alabama,Electric blues*,Wikipedia
Lurrie Bell,https://en.wikipedia.org/wiki/Lurrie_Bell,1958,,Illinois,Electric blues,Wikipedia
Eric Bibb,https://en.wikipedia.org/wiki/Eric_Bibb,1951,,New York,Acoustic blues*,Wikipedia
Blind Mississippi Morris,https://en.wikipedia.org/wiki/Blind_Mississippi_Morris,1955,,Mississippi,Electric blues*,Wikipedia
Skeeter Brandon,https://en.wikipedia.org/wiki/Skeeter_Brandon,1948,,Virginia,Electric blues*,Wikipedia
Ronnie Baker Brooks,https://en.wikipedia.org/wiki/Ronnie_Baker_Brooks,1967,,Illinois,Electric blues*,Wikipedia
Jimmy Burns,https://en.wikipedia.org/wiki/Jimmy_Burns,1943,,Mississippi,Electric blues*,Wikipedia
Cedric Burnside,https://en.wikipedia.org/wiki/Cedric_Burnside,1978,,Mississippi,Electric blues*,Wikipedia
Charles Caldwell,https://en.wikipedia.org/wiki/Charles_Caldwell_(bluesman),1943,2003,Mississippi,Electric blues*,Wikipedia
Karen Carroll,https://en.wikipedia.org/wiki/Karen_Carroll,1958,,Illinois,Electric blues,Wikipedia
William Clarke,https://en.wikipedia.org/wiki/William_Clarke_(musician),1951,1996,California,Electric blues,Wikipedia
Deborah Coleman,https://en.wikipedia.org/wiki/Deborah_Coleman,1956,2018,Virginia,Electric blues,Wikipedia
Shemekia Copeland,https://en.wikipedia.org/wiki/Shemekia_Copeland,1979,,New York,Electric blues*,Wikipedia
Robert Cray,https://en.wikipedia.org/wiki/Robert_Cray,1953,,Georgia,Electric blues,Wikipedia
Debbie Davies,https://en.wikipedia.org/wiki/Debbie_Davies,1952,,California,Electric blues,Wikipedia
Boo Boo Davis,https://en.wikipedia.org/wiki/Boo_Boo_Davis,1943,,Mississippi,Electric blues*,Wikipedia
Guy Davis,https://en.wikipedia.org/wiki/Guy_Davis_(musician),1952,,New York,Electric blues,Wikipedia
Thornetta Davis,https://en.wikipedia.org/wiki/Thornetta_Davis,1963,,Michigan,Electric blues*,Wikipedia
Little Arthur Duncan,https://en.wikipedia.org/wiki/Little_Arthur_Duncan,1934,2008,Mississippi,Electric blues*,Wikipedia
Ronnie Earl,https://en.wikipedia.org/wiki/Ronnie_Earl,1953,,New York,Electric blues,Wikipedia
Tinsley Ellis,https://en.wikipedia.org/wiki/Tinsley_Ellis,1957,,Georgia,Electric blues,Wikipedia
